timestamp, latitude, longitude, accuracy, UUID 
1498222842552,48.2637302,11.671079,50,,80ec3f676e17debf
1499645102750,48.2648829,11.6724254,50,,80ec3f676e17debf
1498222852197,48.2639683,11.6712557,50,,80ec3f676e17debf
1498222860107,48.2647508,11.6713314,32,,80ec3f676e17debf
1498222861133,48.2647535,11.6713308,32,,80ec3f676e17debf
1498222862139,48.2647591,11.6713353,16,,80ec3f676e17debf
1498222863139,48.264762,11.6713421,12,,80ec3f676e17debf
1498222862251,48.264762,11.6713421,12.680000305175781,,80ec3f676e17debf
1498222864000,48.2647636,11.6713436,12,,80ec3f676e17debf
1498222865000,48.264844,11.671222,11,,80ec3f676e17debf
1498222866000,48.2647442,11.6713642,12,,80ec3f676e17debf
1498222867000,48.2647386,11.6713863,16,,80ec3f676e17debf
1498222868000,48.2647266,11.6714137,24,,80ec3f676e17debf
1498222869000,48.2647051,11.6714174,24,,80ec3f676e17debf
1498222868597,48.2647051,11.6714174,30.93899917602539,,80ec3f676e17debf
1498222870000,48.2646831,11.6713988,24,,80ec3f676e17debf
1498222871000,48.2647047,11.6714064,48,,80ec3f676e17debf
1498222872000,48.2647068,11.6714107,16,,80ec3f676e17debf
1498222873000,48.2647075,11.6714129,32,,80ec3f676e17debf
1498222874000,48.2647052,11.671416,32,,80ec3f676e17debf
1498222875000,48.2647048,11.671422,16,,80ec3f676e17debf
1498222876000,48.2647009,11.6714278,16,,80ec3f676e17debf
1498222877000,48.2646915,11.6714348,16,,80ec3f676e17debf
1498222878000,48.2646783,11.6714366,24,,80ec3f676e17debf
1498222879000,48.2646741,11.6714356,24,,80ec3f676e17debf
1498222880000,48.2646764,11.6714373,24,,80ec3f676e17debf
1498222881000,48.2646727,11.6714374,24,,80ec3f676e17debf
1498222883000,48.2646682,11.6714363,32,,80ec3f676e17debf
1498222895330,48.2639954,11.6712799,454.5429992675781,,80ec3f676e17debf
1498222900387,48.2639954,11.6712799,520.2969970703125,,80ec3f676e17debf
1498222905447,48.2639954,11.6712799,586.0770263671875,,80ec3f676e17debf
